Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,269,55993,2747
,,,,,,,,270,62037,3048
,,,,,,,,271,72408,3599
,,,,,,,,272,75002,3708
,,,,,,,,273,72094,3534
,,,,,,,,274,70424,3421
,,,,,,,,275,69612,3379
,,,,,,,,276,67812,3268
,,,,,,,,277,66873,3215
,,,,,,,,278,65480,3137
,,,,,,,,279,64719,3094
,,,,,,,,280,66384,3181
,,,,,,,,281,69841,3360
,,,,,,,,282,75779,3667
,,,,,,,,283,78025,3749
,,,,,,,,284,74796,3573
,,,,,,,,285,73738,3524
,,,,,,,,286,71130,3391
,,,,,,,,287,67621,3234
,,,,,,,,288,64762,3115
,,,,,,,,289,63280,3067
,,,,,,,,290,62938,3065
,,,,,,,,291,62967,3075
,,,,,,,,292,63762,3124
,,,,,,,,293,65536,3217
,,,,,,,,294,70505,3468
,,,,,,,,295,80910,4041
,,,,,,,,296,81571,4045
,,,,,,,,297,76684,3762
,,,,,,,,298,71728,3482
,,,,,,,,299,67962,3297
,,,,,,,,300,63853,3074
,,,,,,,,301,61349,2946
,,,,,,,,302,59014,2824
,,,,,,,,303,57216,2732
,,,,,,,,304,57620,2759
,,,,,,,,305,59606,2867
,,,,,,,,306,63838,3088
,,,,,,,,307,66310,3182
,,,,,,,,308,63749,3039
,,,,,,,,309,63253,3016
,,,,,,,,310,62024,2948
,,,,,,,,311,60331,2880
,,,,,,,,312,58688,2818
,,,,,,,,313,59069,2882
,,,,,,,,314,58497,2869
,,,,,,,,315,58932,2903
,,,,,,,,316,59663,2947
,,,,,,,,317,61000,3017
,,,,,,,,318,63469,3143
,,,,,,,,319,68242,3411
,,,,,,,,320,69077,3422
,,,,,,,,321,68143,3356
,,,,,,,,322,65526,3204
,,,,,,,,323,62829,3068
,,,,,,,,324,59568,2882
,,,,,,,,325,57393,2771
,,,,,,,,326,54977,2650
,,,,,,,,327,53443,2567
,,,,,,,,328,52801,2533
,,,,,,,,329,53093,2550
,,,,,,,,330,54184,2599
,,,,,,,,331,59197,2832
,,,,,,,,332,59941,2871
,,,,,,,,333,59422,2842
,,,,,,,,334,58249,2782
,,,,,,,,335,56202,2684
,,,,,,,,336,53864,2582
,,,,,,,,337,51956,2508
